_op,StaffPersonalLocalId,SchoolSMSUserId,PersonInfo.Name.Title,PersonInfo.Name.FamilyName,PersonInfo.Name.GivenName,PersonInfo.Name.MiddleName,PersonInfo.Name.PreferredGivenName,PersonInfo.Name.Suffix,PersonInfo.Name.FullName,PersonInfo.Demographics.BirthDate,PersonInfo.Email.Work.SourceOrganisation.RefId,PersonInfo.Email.Work.Address,StaffAssignment.StaffRole,StaffAssignment.StartDate
upsert,T98001,SmythR,Mr,Smyth,Riley,,,Jr,Riley Smyth Jr,1950-11-10T00:00:00+12:00,8005,rileys@mailinator.com,1205,1995-01-02T00:00:00+12:00
upsert,T98002,PartridgeV,Ms.,Partridge,Viktoria,,Vic,,Viktoria 'Vic' Partridge,1952-01-17T00:00:00+12:00,8005,viktoriap@mailinator.com,1205,1995-03-06T00:00:00+12:00
upsert,T98003,MarksF,Mr,Marks,Fionn,,,,Fionn Marks,1953-09-03T00:00:00+12:00,8005,fionnm@mailinator.com,1205,1995-05-01T00:00:00+12:00
upsert,T98004,SquiresM,Mr,Squires,Maya,,,,Maya Squires,1953-11-21T00:00:00+12:00,8005,mayas@mailinator.com,1205,1995-05-15T00:00:00+12:00
upsert,T98005,WheelerN,Ms.,Wheeler,Nayla,D,,,Nayla D Wheeler,1956-04-09T00:00:00+12:00,8005,naylaw@mailinator.com,1205,1996-03-25T00:00:00+12:00
upsert,T98006,SharpK,Ms.,Sharp,Keagan,E,,,Keagan E Sharp,1957-08-08T00:00:00+12:00,8005,keagans@mailinator.com,1205,1997-08-11T00:00:00+12:00
upsert,T98007,LoveE,Mr,Love,Eleasha,,,,Eleasha Love,1963-05-04T00:00:00+12:00,8005,eleashal@mailinator.com,1205,2000-03-20T00:00:00+12:00
upsert,T98008,DavidsonF,Mr,Davidson,Fletcher,,,,Fletcher Davidson,1963-06-18T00:00:00+12:00,8005,fletcherd@mailinator.com,1205,2001-02-12T00:00:00+12:00
upsert,T98009,AshtonD,Ms.,Ashton,Dayna,J,,,Dayna J Ashton,1963-11-28T00:00:00+12:00,8005,daynaa@mailinator.com,1205,2001-03-26T00:00:00+12:00
upsert,T98010,KrauseE,Mr,Krause,Emer,,,,Emer Krause,1969-11-08T00:00:00+12:00,8005,emerk@mailinator.com,1205,2004-01-19T00:00:00+12:00
upsert,T98011,HoldingM,Mr,Holding,Moshe,,,,Moshe Holding,1970-06-28T00:00:00+12:00,8005,mosheh@mailinator.com,1205,2005-10-31T00:00:00+12:00
upsert,T98012,SearleC,Ms.,Searle,Caiden,E,,,Caiden E Searle,1972-11-11T00:00:00+12:00,8005,caidens@mailinator.com,1205,2006-09-25T00:00:00+12:00
upsert,T98013,StampH,Mr,Stamp,Howard,,,,Howard Stamp,1975-08-11T00:00:00+12:00,8005,howards@mailinator.com,1205,2011-05-23T00:00:00+12:00
upsert,T98014,BeasleyT,Mr,Beasley,Tyson,,Ty,,Tyson 'Ty' Beasley,1975-12-24T00:00:00+12:00,8005,tysonb@mailinator.com,1205,2011-07-25T00:00:00+12:00
