_op,StudentPersonalLocalId,NationalStudentNumber,FirstNZSchoolingDate,EarlyChildhoodEducation.Type,PersonInfo.Name.FamilyName,PersonInfo.Name.GivenName,PersonInfo.Name.PreferredGivenName,PersonInfo.Name.Suffix,PersonInfo.Name.FullName,PersonInfo.Demographics.BirthDate,PersonInfo.Demographics.Gender,PersonInfo.Demographics.LanguageList.Language.Code,PersonInfo.Demographics.LanguageList.Language.Usage,PersonInfo.Demographics.LanguageList.Language.ProficiencyList.Proficiency.Level,PersonInfo.Demographics.LanguageList.Language.ProficiencyList.Proficiency.Type,PersonInfo.Demographics.EthnicityList.Ethnicity.Code,PersonInfo.Demographics.IwiAffiliationList.Iwi.Code,PersonInfo.Address.Physical.Type,PersonInfo.Address.Physical.Line1,PersonInfo.Address.Physical.Suburb,PersonInfo.Address.Physical.City,PersonInfo.Address.Physical.Country,PersonInfo.Address.Physical.PostalCode,PersonInfo.Email.Personal.SourceOrganisation.RefId,PersonInfo.Email.Personal.Address,PersonInfo.Phone.Home.Number,RecordAudit.CreatedDateTime,RecordAudit.LastUpdatedDateTime
upsert,ST5000000,9005000000,2013-04-01T00:00:00+12:00,EPG,White,Jacob,Jake,,Jacob 'Jake' White,2008-04-01T00:00:00+12:00,1,NZS01112,SH,,,321,,TH,27 Arataua Street,Rotorua,Rotorua,New Zealand,3010,8005,jwhite@mailinator.com,+64 7-943 8050,2020-05-27T12:40:30+12:00,2020-05-27T12:40:30+12:00
upsert,ST5000013,9005000013,2014-04-11T00:00:00+12:00,EUN,Preston,Connor,,Jr,Connor Preston Jr,2009-04-11T00:00:00+12:00,1,NZS01112,SH,,,211,NZS0507,TH,13 Highfield Crescent,Brookfield,Tauranga,New Zealand,3110,8005,cpreston@mailinator.com,+64 7-442  828,2020-05-27T12:40:45+12:00,2020-05-27T12:40:45+12:00
upsert,ST5000026,9005000026,2015-01-18T00:00:00+12:00,ECO,Macdonald,Daniel,Danny,,Daniel 'Danny' Macdonald,2010-01-18T00:00:00+12:00,2,NZS01112,SH,,,511,,TH,57 Old Taupo Road,Mangakakahi,Rotorua,New Zealand,3015,8005,dmacdonald@mailinator.com,+64 7-432 5069,2020-05-27T12:41:00+12:00,2020-05-27T12:41:00+12:00
upsert,ST5000039,9005000039,2015-02-21T00:00:00+12:00,EPC,Purau,Henry,,,Henry Purau,2010-02-21T00:00:00+12:00,1,NZS01112,SH,,,211,NZS0509,TH,47 Wychwood Crescent,Springfield,Rotorua,New Zealand,3015,8005,hpurau@mailinator.com,+64 7-484 3723,2020-05-27T12:41:15+12:00,2020-05-27T12:41:15+12:00
upsert,ST5000041,9005000041,2015-03-07T00:00:00+12:00,EKE,Newbold,Charlotte,,,Charlotte Newbold,2010-03-07T00:00:00+12:00,2,NZS01112,SH,,,51117,,TH,75 Taraire Mews,Pyes Pa,Tauranga,New Zealand,3112,8005,cnewbold@mailinator.com,+64 7-927 4579,2020-05-27T12:41:29+12:00,2020-05-27T12:41:29+12:00
upsert,ST5000054,9005000054,2015-05-14T00:00:00+12:00,ENA,Pennell,Sophie,,III,Sophie Pennell III,2010-05-14T00:00:00+12:00,1,NZS01112,SH,,,211,NZS0412,TH,76 Lynbert Road,Lynmore,Rotorua,New Zealand,3010,8005,spennell@mailinator.com,+64 7-213 6424,2020-05-27T12:41:45+12:00,2020-05-27T12:41:45+12:00
upsert,ST5000067,9005000067,2015-06-03T00:00:00+12:00,ENA,Wilkie,Nathan,,,Nathan Wilkie,2010-06-03T00:00:00+12:00,2,NZS01112,SH,,,211,NZS0507,TH,38 Konene Street,Hillcrest,Rotorua,New Zealand,3015,8005,nwilkie@mailinator.com,+64 7-888 7477,2020-05-27T12:42:00+12:00,2020-05-27T12:42:00+12:00
upsert,ST5100075,9005100075,2015-09-08T00:00:00+12:00,ENA,Smith,Kate,,,Kate Smith,2010-09-08T00:00:00+12:00,2,NZS07116,SH,,,211,NZS0504,TH,68 Kokako Street,Selwyn Heights,Rotorua,New Zealand,3015,8005,ksmith@mailinator.com,+64 7-204 1393,2020-05-27T12:42:15+12:00,2020-05-27T12:42:15+12:00
upsert,ST5000082,9005000082,2016-07-02T00:00:00+12:00,EKE,Patterson,Isabel,,,Isabel Patterson,2011-07-02T00:00:00+12:00,1,NZS01112,SH,,,211,NZS0503,TH,49 Orion Lane,Mt Maunganui,Tauranga,New Zealand,3116,8005,ipatterson@mailinator.com,+64 7-308 1222,2020-05-27T12:42:30+12:00,2020-05-27T12:42:30+12:00
upsert,ST5000095,9005000095,2017-01-30T00:00:00+12:00,EKE,Watt,Ella,,,Ella Watt,2012-01-30T00:00:00+12:00,1,NZS01112,SH,,,211,NZS0403,TH,20 Samantha Place,Te Puke,Western Bay of Plenty,New Zealand,3119,8005,ewatt@mailinator.com,+64 7-992 2978,2020-05-27T12:42:45+12:00,2020-05-27T12:42:45+12:00
