_op,StaffPersonalLocalId,SchoolSMSUserId,EnableLogin,PersonInfo.Name.Title,PersonInfo.Name.FamilyName,PersonInfo.Name.GivenName,PersonInfo.Name.MiddleName,PersonInfo.Name.PreferredGivenName,PersonInfo.Name.Suffix,PersonInfo.Name.FullName,PersonInfo.Demographics.BirthDate,PersonInfo.EmailList.Email.Type,PersonInfo.EmailList.Email.SourceOrganisation.RefId,PersonInfo.EmailList.Email.Address,RecordAudit.CreatedDateTime,RecordAudit.LastUpdatedDateTime,StaffAssignment.StaffRole,StaffAssignment.StartDate
upsert,T98001,SmythR,Y,Mr,Smyth,Riley,,,Jr,Riley Smyth Jr,1950-11-10,WORK,8005,rileys@mailinator.com,43978.528125,43978.528125,1201,1995-01-02
upsert,T98002,PartridgeV,Y,Ms.,Partridge,Viktoria,,Vic,,Viktoria 'Vic' Partridge,1952-01-17,WORK,8005,viktoriap@mailinator.com,43978.52829861111,43978.52829861111,1201,1995-03-06
upsert,T98003,MarksF,Y,Mr,Marks,Fionn,,,,Fionn Marks,1953-09-03,WORK,8005,fionnm@mailinator.com,43978.52847222222,43978.52847222222,1201,1995-05-01
upsert,T98004,SquiresM,Y,Mr,Squires,Maya,,,,Maya Squires,1953-11-21,WORK,8005,mayas@mailinator.com,43978.52864583334,43978.52864583334,1201,1995-05-15
upsert,T98005,WheelerN,Y,Ms.,Wheeler,Nayla,D,,,Nayla D Wheeler,1956-04-09,WORK,8005,naylaw@mailinator.com,43978.52881944444,43978.52881944444,1201,1996-03-25
upsert,T98006,SharpK,Y,Ms.,Sharp,Keagan,E,,,Keagan E Sharp,1957-08-08,WORK,8005,keagans@mailinator.com,43978.52899305556,43978.52899305556,1201,1997-08-11
upsert,T98007,LoveE,Y,Mr,Love,Eleasha,,,,Eleasha Love,1963-05-04,WORK,8005,eleashal@mailinator.com,43978.52916666667,43978.52916666667,1201,2000-03-20
upsert,T98008,DavidsonF,Y,Mr,Davidson,Fletcher,,,,Fletcher Davidson,1963-06-18,WORK,8005,fletcherd@mailinator.com,43978.52934027778,43978.52934027778,1201,2001-02-12
upsert,T98009,AshtonD,Y,Ms.,Ashton,Dayna,J,,,Dayna J Ashton,1963-11-28,WORK,8005,daynaa@mailinator.com,43978.52951388889,43978.52951388889,1201,2001-03-26
upsert,T98010,KrauseE,Y,Mr,Krause,Emer,,,,Emer Krause,1969-11-08,WORK,8005,emerk@mailinator.com,43978.5296875,43978.5296875,1201,2004-01-19
