_op,StudentProviderEnrolmentLocalId,Student.LocalId,Student.NationalStudentNumber,Provider.RefId,StudentId,EntryDate,Status,ECEEducationHistoryList.ECEType.Type,EarlyChildhoodEnrolment.ECEYearLevel,EarlyChildhoodEnrolment.Curriculum,SchoolEnrolmentList.SchoolEnrolment.SchoolCalendarYear,SchoolEnrolmentList.SchoolEnrolment.StartDate,SchoolEnrolmentList.SchoolEnrolment.MembershipType,SchoolEnrolmentList.SchoolEnrolment.YearLevel,SchoolEnrolmentList.SchoolEnrolment.FTE,SchoolEnrolmentList.SchoolEnrolment.FundingType,SchoolEnrolmentList.SchoolEnrolment.FundingYearLevel,SchoolEnrolmentList.SchoolEnrolment.Curriculum,RecordAudit.CreatedDateTime,RecordAudit.LastUpdatedDateTime
upsert,2020_8005_ST5000000,ST5000000,9005000000,8005,ST5000000,2013-04-01,ACT,EPG,,,2020,2020-01-27,BASE,8,1,SF,8,NZC,2020-05-27T12:40:30+1200,2020-05-27T12:40:30+1200
upsert,2020_8005_ST5000013,ST5000013,9005000013,8005,ST5000013,2014-04-11,ACT,EUN,,,2020,2020-01-27,BASE,7,1,RE,7,NZC,2020-05-27T12:40:45+1200,2020-05-27T12:40:45+1200
upsert,2020_8005_ST5000026,ST5000026,9005000026,8005,ST5000026,2015-01-18,ACT,ECO,,,2020,2020-01-27,BASE,6,1,RE,6,NZC,2020-05-27T12:41:00+1200,2020-05-27T12:41:00+1200
upsert,2020_8005_ST5000039,ST5000039,9005000039,8005,ST5000039,2015-02-21,ACT,EPC,,,2020,2020-01-27,BASE,6,1,RE,6,NZC,2020-05-27T12:41:15+1200,2020-05-27T12:41:15+1200
upsert,2020_8005_ST5000041,ST5000041,9005000041,8005,ST5000041,2015-03-07,ACT,EKE,,,2020,2020-01-27,BASE,6,1,RE,6,NZC,2020-05-27T12:41:29+1200,2020-05-27T12:41:29+1200
upsert,2020_8005_ST5000054,ST5000054,9005000054,8005,ST5000054,2015-05-14,ACT,ENA,,,2020,2020-01-27,BASE,6,1,RE,6,NZC,2020-05-27T12:41:45+1200,2020-05-27T12:41:45+1200
upsert,2020_8005_ST5000067,ST5000067,9005000067,8005,ST5000067,2015-06-03,ACT,ENA,,,2020,2020-01-27,BASE,6,1,RE,6,NZC,2020-05-27T12:42:00+1200,2020-05-27T12:42:00+1200
upsert,2020_8005_ST5100075,ST5100075,9005100075,8005,ST5100075,2015-09-08,ACT,ENA,,,2020,2020-01-27,BASE,6,1,NA,6,NZC,2020-05-27T12:42:15+1200,2020-05-27T12:42:15+1200
upsert,2020_8005_ST5000082,ST5000082,9005000082,8005,ST5000082,2016-07-02,ACT,EKE,,,2020,2020-01-27,BASE,5,1,RE,5,NZC,2020-05-27T12:42:30+1200,2020-05-27T12:42:30+1200
upsert,2020_8005_ST5000095,ST5000095,9005000095,8005,ST5000095,2017-01-30,ACT,EKE,,,2020,2020-01-27,BASE,4,1,RE,4,NZC,2020-05-27T12:42:45+1200,2020-05-27T12:42:45+1200
