_op,StudentTeachingGroupEnrolmentLocalId,Status,Student.LocalId,Student.NationalStudentNumber,Student.YearLevel,Organisation.RefId,TeachingGroup.LocalId,StartDate,RecordAudit.CreatedDateTime,RecordAudit.LastUpdatedDateTime
upsert,2020_8005_HR7_HR8_ST5000000,A,ST5000000,9005000000,8,8005,2020_8005_HR7_HR8,2020-01-27,2020-05-27T12:40:30+1200,2020-05-27T12:40:30+1200
upsert,2020_8005_HR7_HR8_ST5000013,A,ST5000013,9005000013,7,8005,2020_8005_HR7_HR8,2020-01-28,2020-05-27T12:40:45+1200,2020-05-27T12:40:45+1200
upsert,2020_8005_HR6_ST5000026,A,ST5000026,9005000026,6,8005,2020_8005_HR6,2020-01-29,2020-05-27T12:41:00+1200,2020-05-27T12:41:00+1200
upsert,2020_8005_HR6_ST5000039,A,ST5000039,9005000039,6,8005,2020_8005_HR6,2020-01-30,2020-05-27T12:41:15+1200,2020-05-27T12:41:15+1200
upsert,2020_8005_HR6_ST5000041,A,ST5000041,9005000041,6,8005,2020_8005_HR6,2020-01-31,2020-05-27T12:41:29+1200,2020-05-27T12:41:29+1200
upsert,2020_8005_HR6_ST5000054,A,ST5000054,9005000054,6,8005,2020_8005_HR6,2020-02-01,2020-05-27T12:41:45+1200,2020-05-27T12:41:45+1200
upsert,2020_8005_HR6_ST5000067,A,ST5000067,9005000067,6,8005,2020_8005_HR6,2020-02-02,2020-05-27T12:42:00+1200,2020-05-27T12:42:00+1200
upsert,2020_8005_HR6_ST5100075,A,ST5100075,9005100075,6,8005,2020_8005_HR6,2020-02-03,2020-05-27T12:42:15+1200,2020-05-27T12:42:15+1200
upsert,2020_8005_HR5_ST5000082,A,ST5000082,9005000082,5,8005,2020_8005_HR5,2020-02-04,2020-05-27T12:42:30+1200,2020-05-27T12:42:30+1200
upsert,2020_8005_HR4_ST5000095,A,ST5000095,9005000095,4,8005,2020_8005_HR4,2020-02-05,2020-05-27T12:42:45+1200,2020-05-27T12:42:45+1200
upsert,2020_8005_HR4_ST5000105,A,ST5000105,9005000105,4,8005,2020_8005_HR4,2020-02-06,2020-05-27T12:43:00+1200,2020-05-27T12:43:00+1200
upsert,2020_8005_HR3_ST5000118,A,ST5000118,9005000118,3,8005,2020_8005_HR3,2020-02-07,2020-05-27T12:43:15+1200,2020-05-27T12:43:15+1200
upsert,2020_8005_HR3_ST5000120,A,ST5000120,9005000120,3,8005,2020_8005_HR3,2020-02-08,2020-05-27T12:43:30+1200,2020-05-27T12:43:30+1200
upsert,2020_8005_HR3_ST5000133,A,ST5000133,9005000133,3,8005,2020_8005_HR3,2020-02-09,2020-05-27T12:43:45+1200,2020-05-27T12:43:45+1200
upsert,2020_8005_HR3_ST5000146,A,ST5000146,9005000146,3,8005,2020_8005_HR3,2020-02-10,2020-05-27T12:44:00+1200,2020-05-27T12:44:00+1200
upsert,2020_8005_HR3_ST5000159,A,ST5000159,9005000159,3,8005,2020_8005_HR3,2020-02-11,2020-05-27T12:44:15+1200,2020-05-27T12:44:15+1200
upsert,2020_8005_JR_ST5000161,A,ST5000161,9005000161,2,8005,2020_8005_JR,2020-02-12,2020-05-27T12:44:30+1200,2020-05-27T12:44:30+1200
upsert,2020_8005_JR_ST5000174,A,ST5000174,9005000174,2,8005,2020_8005_JR,2020-02-13,2020-05-27T12:44:45+1200,2020-05-27T12:44:45+1200
