_op,StudentTeachingGroupEnrolmentLocalId,Student.LocalId,Student.NationalStudentNumber,Student.YearLevel,Organisation.RefId,TeachingGroup.LocalId,StartDate
upsert,2020_8005_HR7_HR8_ST5000000,ST5000000,9005000000,8,8005,2020_8005_HR7_HR8,2020-01-27T00:00:00+12:00
upsert,2020_8005_HR7_HR8_ST5000013,ST5000013,9005000013,7,8005,2020_8005_HR7_HR8,2020-01-28T00:00:00+12:00
upsert,2020_8005_HR6_ST5000026,ST5000026,9005000026,6,8005,2020_8005_HR6,2020-01-29T00:00:00+12:00
upsert,2020_8005_HR6_ST5000039,ST5000039,9005000039,6,8005,2020_8005_HR6,2020-01-30T00:00:00+12:00
upsert,2020_8005_HR6_ST5000041,ST5000041,9005000041,6,8005,2020_8005_HR6,2020-01-31T00:00:00+12:00
upsert,2020_8005_HR6_ST5000054,ST5000054,9005000054,6,8005,2020_8005_HR6,2020-02-01T00:00:00+12:00
upsert,2020_8005_HR6_ST5000067,ST5000067,9005000067,6,8005,2020_8005_HR6,2020-02-02T00:00:00+12:00
upsert,2020_8005_HR6_ST5100075,ST5100075,9005100075,6,8005,2020_8005_HR6,2020-02-03T00:00:00+12:00
upsert,2020_8005_HR5_ST5000082,ST5000082,9005000082,5,8005,2020_8005_HR5,2020-02-04T00:00:00+12:00
upsert,2020_8005_HR4_ST5000095,ST5000095,9005000095,4,8005,2020_8005_HR4,2020-02-05T00:00:00+12:00
upsert,2020_8005_HR4_ST5000105,ST5000105,9005000105,4,8005,2020_8005_HR4,2020-02-06T00:00:00+12:00
upsert,2020_8005_HR3_ST5000118,ST5000118,9005000118,3,8005,2020_8005_HR3,2020-02-07T00:00:00+12:00
upsert,2020_8005_HR3_ST5000120,ST5000120,9005000120,3,8005,2020_8005_HR3,2020-02-08T00:00:00+12:00
upsert,2020_8005_HR3_ST5000133,ST5000133,9005000133,3,8005,2020_8005_HR3,2020-02-09T00:00:00+12:00
upsert,2020_8005_HR3_ST5000146,ST5000146,9005000146,3,8005,2020_8005_HR3,2020-02-10T00:00:00+12:00
upsert,2020_8005_HR3_ST5000159,ST5000159,9005000159,3,8005,2020_8005_HR3,2020-02-11T00:00:00+12:00
upsert,2020_8005_JR_ST5000161,ST5000161,9005000161,2,8005,2020_8005_JR,2020-02-12T00:00:00+12:00
upsert,2020_8005_JR_ST5000174,ST5000174,9005000174,2,8005,2020_8005_JR,2020-02-13T00:00:00+12:00
upsert,2020_8005_JR_ST5000187,ST5000187,9005000187,2,8005,2020_8005_JR,2020-02-14T00:00:00+12:00
upsert,2020_8005_JR_ST5100195,ST5100195,9005100195,2,8005,2020_8005_JR,2020-02-15T00:00:00+12:00
upsert,2020_8005_JR_ST5100205,ST5100205,9005100205,2,8005,2020_8005_JR,2020-02-16T00:00:00+12:00
upsert,2020_8005_JR_ST5000212,ST5000212,9005000212,1,8005,2020_8005_JR,2020-02-17T00:00:00+12:00
upsert,2020_8005_JR_ST5000225,ST5000225,9005000225,1,8005,2020_8005_JR,2020-02-18T00:00:00+12:00
upsert,2020_8005_JR_ST5000238,ST5000238,9005000238,1,8005,2020_8005_JR,2020-02-19T00:00:00+12:00
upsert,2020_8005_JR_ST5000240,ST5000240,9005000240,1,8005,2020_8005_JR,2020-02-20T00:00:00+12:00
upsert,2020_8005_HR7_HR8_ST5000253,ST5000253,9005000253,8,8005,2020_8005_HR7_HR8,2020-02-21T00:00:00+12:00
upsert,2020_8005_HR7_HR8_ST5000266,ST5000266,9005000266,8,8005,2020_8005_HR7_HR8,2020-02-22T00:00:00+12:00
upsert,2020_8005_HR7_HR8_ST5000279,ST5000279,9005000279,7,8005,2020_8005_HR7_HR8,2020-02-23T00:00:00+12:00
upsert,2020_8005_HR7_HR8_ST5000281,ST5000281,9005000281,7,8005,2020_8005_HR7_HR8,2020-02-24T00:00:00+12:00
upsert,2020_8005_HR7_HR8_ST5000294,ST5000294,9005000294,7,8005,2020_8005_HR7_HR8,2020-02-25T00:00:00+12:00
upsert,2020_8005_HR7_HR8_ST5000304,ST5000304,9005000304,7,8005,2020_8005_HR7_HR8,2020-02-26T00:00:00+12:00
upsert,2020_8005_HR6_ST5000317,ST5000317,9005000317,6,8005,2020_8005_HR6,2020-02-27T00:00:00+12:00
upsert,2020_8005_HR6_ST5100325,ST5100325,9005100325,6,8005,2020_8005_HR6,2020-02-28T00:00:00+12:00
upsert,2020_8005_HR6_ST5000332,ST5000332,9005000332,6,8005,2020_8005_HR6,2020-02-29T00:00:00+12:00
upsert,2020_8005_HR6_ST5000345,ST5000345,9005000345,6,8005,2020_8005_HR6,2020-03-01T00:00:00+12:00
upsert,2020_8005_HR5_ST5000358,ST5000358,9005000358,5,8005,2020_8005_HR5,2020-03-02T00:00:00+12:00
upsert,2020_8005_HR5_ST5000360,ST5000360,9005000360,5,8005,2020_8005_HR5,2020-03-03T00:00:00+12:00
upsert,2020_8005_HR5_ST5000373,ST5000373,9005000373,5,8005,2020_8005_HR5,2020-03-04T00:00:00+12:00
upsert,2020_8005_HR5_ST5000386,ST5000386,9005000386,5,8005,2020_8005_HR5,2020-03-05T00:00:00+12:00
upsert,2020_8005_HR5_ST5000399,ST5000399,9005000399,5,8005,2020_8005_HR5,2020-03-06T00:00:00+12:00
upsert,2020_8005_HR5_ST5000409,ST5000409,9005000409,5,8005,2020_8005_HR5,2020-03-07T00:00:00+12:00
upsert,2020_8005_HR5_ST5000411,ST5000411,9005000411,5,8005,2020_8005_HR5,2020-03-08T00:00:00+12:00
upsert,2020_8005_HR4_ST5000424,ST5000424,9005000424,4,8005,2020_8005_HR4,2020-03-09T00:00:00+12:00
upsert,2020_8005_HR4_ST5000437,ST5000437,9005000437,4,8005,2020_8005_HR4,2020-03-10T00:00:00+12:00
upsert,2020_8005_HR4_ST5100445,ST5100445,9005100445,4,8005,2020_8005_HR4,2020-03-11T00:00:00+12:00
upsert,2020_8005_HR3_ST5000452,ST5000452,9005000452,3,8005,2020_8005_HR3,2020-03-12T00:00:00+12:00
upsert,2020_8005_HR3_ST5000465,ST5000465,9005000465,3,8005,2020_8005_HR3,2020-03-13T00:00:00+12:00
upsert,2020_8005_JR_ST5000478,ST5000478,9005000478,2,8005,2020_8005_JR,2020-03-14T00:00:00+12:00
upsert,2020_8005_JR_ST5000480,ST5000480,9005000480,2,8005,2020_8005_JR,2020-03-15T00:00:00+12:00
upsert,2020_8005_JR_ST5000493,ST5000493,9005000493,1,8005,2020_8005_JR,2020-03-16T00:00:00+12:00
upsert,2020_8005_HR7_HR8_ST5000503,ST5000503,9005000503,8,8005,2020_8005_HR7_HR8,2020-03-17T00:00:00+12:00
upsert,2020_8005_HR7_HR8_ST5000516,ST5000516,9005000516,8,8005,2020_8005_HR7_HR8,2020-03-18T00:00:00+12:00
upsert,2020_8005_HR7_HR8_ST5000529,ST5000529,9005000529,8,8005,2020_8005_HR7_HR8,2020-03-19T00:00:00+12:00
upsert,2020_8005_HR7_HR8_ST5000531,ST5000531,9005000531,7,8005,2020_8005_HR7_HR8,2020-03-20T00:00:00+12:00
upsert,2020_8005_HR7_HR8_ST5000544,ST5000544,9005000544,7,8005,2020_8005_HR7_HR8,2020-03-21T00:00:00+12:00
upsert,2020_8005_HR7_HR8_ST5000557,ST5000557,9005000557,7,8005,2020_8005_HR7_HR8,2020-03-22T00:00:00+12:00
upsert,2020_8005_HR6_ST5100565,ST5100565,9005100565,6,8005,2020_8005_HR6,2020-03-23T00:00:00+12:00
upsert,2020_8005_HR6_ST5000572,ST5000572,9005000572,6,8005,2020_8005_HR6,2020-03-24T00:00:00+12:00
upsert,2020_8005_HR6_ST5000585,ST5000585,9005000585,6,8005,2020_8005_HR6,2020-03-25T00:00:00+12:00
upsert,2020_8005_HR6_ST5000598,ST5000598,9005000598,6,8005,2020_8005_HR6,2020-03-26T00:00:00+12:00
upsert,2020_8005_HR5_ST5000608,ST5000608,9005000608,5,8005,2020_8005_HR5,2020-03-27T00:00:00+12:00
upsert,2020_8005_HR5_ST5000610,ST5000610,9005000610,5,8005,2020_8005_HR5,2020-03-28T00:00:00+12:00
upsert,2020_8005_HR5_ST5000623,ST5000623,9005000623,5,8005,2020_8005_HR5,2020-03-29T00:00:00+12:00
upsert,2020_8005_HR5_ST5000636,ST5000636,9005000636,5,8005,2020_8005_HR5,2020-03-30T00:00:00+12:00
upsert,2020_8005_HR4_ST5000649,ST5000649,9005000649,4,8005,2020_8005_HR4,2020-03-31T00:00:00+12:00
upsert,2020_8005_HR4_ST5000651,ST5000651,9005000651,4,8005,2020_8005_HR4,2020-04-01T00:00:00+12:00
upsert,2020_8005_HR4_ST5000664,ST5000664,9005000664,4,8005,2020_8005_HR4,2020-04-02T00:00:00+12:00
